"","x"
"1399","78"
"1400","74"
"1401","55"
"1402","29"
"1403","20"
"1404","34"
"1405","72"
"1406","11"
"1407","06"
"1408","57"
"1409","12"
"1410","52"
"1411","38"
"1412","21"
"1413","06"
"1414","66"
"1415","43"
"1416","31"
"1417","72"
"1418","14"
"1419","75"
"1420","30"
"1421","45"
"1422","23"
"1423","11"
"1424","75"
"1425","27"
"1426","77"
"1427","19"
"1428","15"
"1429","84"
"1430","53"
"1431","11"
"1432","66"
"1433","56"
"1434","84"
"1435","18"
"1436","42"
"1437","00"
"1438","99"
"1439","76"
"1440","19"
"1441","17"
"1442","29"
"1443","09"
"1444","84"
"1445","10"
"1446","04"
"1447","30"
"1448","07"
"1449","04"
"1450","33"
"1451","26"
"1452","84"
"1453","27"
"1454","88"
"1455","45"
"1456","41"
"1457","27"
"1458","22"
"1459","12"
"1460","54"
"1461","02"
"1462","15"
"1463","00"
"1464","17"
"1465","36"
"1466","42"
"1467","16"
"1468","67"
"1469","36"
"1470","33"
"1471","00"
"1472","00"
"1473","00"
"1474","00"
"1475","55"
"1476","33"
"1477","47"
"1478","06"
"1479","23"
"1480","34"
"1481","19"
"1482","00"
"1483","19"
"1484","47"
"1485","33"
"1486","79"
"1487","43"
"1488","84"
"1489","54"
"1490","39"
"1491","18"
"1492","13"
"1493","50"
"1494","83"
"1495","98"
"1496","07"
"1497","50"
"1498","60"
"1499","04"
"1500","34"
"1501","78"
"1502","49"
"1503","24"
"1504","82"
"1505","83"
"1506","53"
"1507","17"
"1508","53"
"1509","61"
"1510","53"
"1511","67"
"1512","19"
"1513","73"
"1514","10"
"1515","24"
"1516","42"
"1517","63"
"1518","31"
"1519","07"
"1520","81"
"1521","15"
"1522","37"
"1523","85"
"1524","67"
"1525","83"
"1526","77"
"1527","86"
"1528","00"
"1529","74"
"1530","71"
"1531","07"
"1532","40"
"1533","36"
"1534","15"
"1535","79"
"1536","20"
"1537","12"
"1538","78"
"1539","92"
"1540","89"
"1541","52"
"1542","74"
"1543","70"
"1544","65"
"1545","89"
"1546","30"
"1547","61"
"1548","48"
"1549","93"
"1550","22"
"1551","02"
"1552","96"
"1553","14"
"1554","44"
"1555","38"
"1556","54"
"1557","50"
"1558","57"
"1559","15"
"1560","80"
"1561","75"
"1562","93"
"1563","51"
"1564","96"
"1565","25"
"1566","40"
"1567","43"
"1568","31"
"1569","12"
"1570","64"
"1571","38"
"1572","29"
"1573","18"
"1574","16"
"1575","40"
"1576","81"
"1577","84"
"1578","81"
"1579","82"
"1580","74"
"1581","80"
"1582","90"
"1583","35"
"1584","74"
"1585","65"
"1586","64"
"1587","97"
"1588","83"
"1589","56"
"1590","41"
"1591","71"
"1592","35"
"1593","36"
"1594","71"
"1595","91"
"1596","47"
"1597","14"
"1598","04"
"1599","88"
"1600","88"
"1601","69"
"1602","62"
"1603","59"
"1604","47"
"1605","22"
"1606","72"
"1607","88"
"1608","22"
"1609","84"
"1610","18"
"1611","73"
"1612","57"
"1613","27"
"1614","90"
"1615","99"
"1616","51"
"1617","20"
"1618","61"
"1619","17"
"1620","70"
"1621","91"
"1622","48"
"1623","31"
"1624","48"
"1625","73"
"1626","23"
"1627","67"
"1628","56"
"1629","82"
"1630","88"
"1631","02"
"1632","00"
"1633","28"
"1634","19"
"1635","66"
"1636","68"
"1637","78"
"1638","02"
"1639","91"
"1640","43"
"1641","85"
"1642","32"
"1643","73"
"1644","86"
"1645","32"
"1646","53"
"1647","83"
"1648","38"
"1649","46"
"1650","47"
"1651","96"
"1652","13"
"1653","68"
"1654","26"
"1655","75"
"1656","98"
"1657","32"
"1658","84"
"1659","83"
"1660","73"
"1661","54"
"1662","07"
"1663","65"
"1664","64"
"1665","83"
"1666","35"
"1667","99"
"1668","91"
"1669","66"
"1670","83"
"1671","80"
"1672","10"
"1673","46"
"1674","27"
"1675","81"
"1676","47"
"1677","45"
"1678","97"
"1679","03"
"1680","29"
"1681","62"
"1682","95"
"1683","77"
"1684","00"
"1685","01"
"1686","26"
"1687","25"
"1688","37"
"1689","05"
"1690","94"
"1691","67"
"1692","45"
"1693","67"
"1694","54"
"1695","26"
"1696","30"
"1697","30"
"1698","08"
"1699","92"
"1700","05"
"1701","17"
"1702","04"
"1703","91"
"1704","70"
"1705","98"
"1706","02"
"1707","14"
"1708","18"
"1709","04"
"1710","73"
"1711","57"
"1712","07"
"1713","86"
"1714","55"
"1715","57"
"1716","54"
"1717","55"
"1718","21"
"1719","36"
"1720","31"
"1721","17"
"1722","34"
"1723","07"
"1724","32"
"1725","85"
"1726","58"
"1727","38"
"1728","16"
"1729","90"
"1730","71"
"1731","20"
"1732","81"
"1733","18"
"1734","50"
"1735","93"
"1736","23"
"1737","61"
"1738","87"
"1739","42"
"1740","27"
"1741","59"
"1742","96"
"1743","21"
"1744","91"
"1745","78"
"1746","85"
"1747","91"
"1748","78"
"1749","89"
"1750","51"
"1751","12"
"1752","72"
"1753","86"
"1754","76"
"1755","63"
"1756","00"
"1757","47"
"1758","87"
"1759","73"
"1760","13"
"1761","90"
"1762","17"
"1763","80"
"1764","71"
"1765","19"
"1766","81"
"1767","98"
"1768","13"
