unit_type,dist_name,prov_name,dist_id,prov_id,population_2015_adj,population_2015,population_2010_adj,population_2010
Provincial_Center,Mehtarlam,Laghman,701,7,188104.429967798,149620.518550619,163319.669429965,130530.21913413
District,Alingar,Laghman,704,7,128389.405668177,102122.468323346,111472.72308841,89092.5075345784
District,Onaba(Anawa),Panjsher,806,8,21700.9515905827,17261.196452722,18841.6196728125,15058.815422602
District,Rukha,Panjsher,803,8,24684.5246071164,19634.3671266604,21432.075682601,17129.1890823487
District,Dara,Panjsher,804,8,27540.3995002126,21905.964198608,23911.6571586076,19110.9494830454
District,Du Ab,Nuristan,1403,14,10176.5762233213,8094.5706950491,8835.7036113013,7061.7724351767
District,Nurgal,Kunar,1314,13,43823.6837082952,34857.883562319,38049.4468407892,30410.31484982
District,Khas Kunar,Kunar,1309,13,48399.3581905067,38497.429469008,42022.2251979783,33585.4850159176
District,Sarkani,Kunar,1304,13,37737.3103966415,30016.707695514,32765.0159717947,26186.8314830214
District,Chawkay,Kunar,1308,13,50554.4679587036,40211.6277346201,43893.3734714575,35080.9664444514
District,Narang,Kunar,1303,13,41127.3310246915,32713.1714195088,35708.3645475954,28539.2486443371
District,Marawara,Kunar,1305,13,28407.4819441736,22595.6516782194,24664.4932581931,19712.6396454051
District,Chapa Dara,Kunar,1313,13,43617.2107942477,34693.6509373672,37870.1780527234,30267.0367521793
Provincial_Center,Asad Abad,Kunar,1301,13,45192.0478351414,35946.2958750576,39237.5125276446,31359.8541139364
District,Dara-e-Pech,Kunar,1307,13,73712.2166646495,58631.5812300891,63999.8493946642,51150.6924013775
District,Wata Pur,Kunar,1302,13,37957.3047208339,30191.6952999681,32956.0254665315,26339.4932559244
District,Shigal wa shel tan,Kunar,1306,13,40723.3395489873,32391.8327849712,35357.6074851714,28258.912321236
District,Dangam,Kunar,1310,13,24109.7705393881,19177.2000310272,20933.0500360876,16730.3525661975
District,Nari,Kunar,1315,13,38146.6100972444,30342.2709750459,33120.3863850981,26470.854933247
District,Bar Kunar,Kunar,1311,13,29479.6490230858,23448.4662920721,25595.3922127187,20456.6424476989
District,Ghazi Abad,Kunar,1312,13,26462.7821099795,21048.8145004157,22976.0298472084,18363.1659572646
District,Wama,Nuristan,1405,14,15817.5199854439,12581.4444032386,13733.3934868947,10976.1600858085
District,Nurgaram,Nuristan,1404,14,51947.4591199523,41319.6320731491,45102.8274442684,36047.5979020707
District,Waygal,Nuristan,1406,14,28294.9426268516,22506.1370502403,24566.7830547476,19634.5463478854
District,Kamdesh,Nuristan,1407,14,34883.1653942047,27746.4863683376,30286.9338365775,24206.270558143
District,Pachier Agam,Nangarhar,612,6,59620.6385080516,47422.9706601053,51764.9827021062,41372.203052029
District,Khash Rod,Nimroz,3405,34,43894.6602890044,34914.3385565132,38111.0684345905,30459.5661054645
District,Chakhansur,Nimroz,3404,34,32831.0439678836,26114.2053859374,28505.2019375972,22782.2537175021
District,Chahar Burjak,Nimroz,3403,34,36527.9840725791,29054.7963332795,31715.0340024959,25347.6525262855
District,Deh shu,Hilmand,3213,32,48242.4035966499,38372.5840588137,41885.9495794848,33476.5697211623
District,Reg(khan Neshin),Hilmand,3212,32,44241.3820584975,35190.1247214843,38412.1063957959,30700.1635231506
District,Garm Ser,Hilmand,3209,32,113768.193491299,90492.5831383243,98778.018449225,78946.4984282507
District,Nad-e-Ali,Hilmand,3203,32,189107.779448424,150418.598124424,164190.816452211,131226.465182751
District,Nawa-e-Barak Zaiy,Hilmand,3204,32,73221.8954651281,58241.5741963685,63574.1265032925,50810.4436003305
Provincial_Center,Lashkar Gah,Hilmand,3201,32,173737.624203093,138192.986276284,148549.559631627,118725.483473104
District,Wa Sher,Hilmand,3208,32,21818.0226569204,17354.3168396661,18943.2664192412,15140.0542227179
District,Nahr-e-Saraj,Hilmand,3202,32,154861.364288747,123178.587688353,133710.56548422,106865.6889998
District,Naw Zad,Hilmand,3207,32,68368.9894016665,54381.5122017255,59360.6419263976,47442.8948199451
District,Musa Qaleh,Hilmand,3206,32,57072.7521004342,45396.3505900428,49552.8086214997,39604.1643022001
District,Sangin,Hilmand,3205,32,80797.2797422707,64267.121922031,70151.3747314513,56067.1859385818
District,Kajaki,Hilmand,3210,32,95918.5021370873,76294.7244291641,83280.2135297451,66560.1655656062
